timeStamp,demand
2012-01-01 00:00:00,4937.5000
2012-01-01 01:00:00,4752.1000
2012-01-01 02:00:00,4542.6000
2012-01-01 03:00:00,4357.7000
2012-01-01 04:00:00,4275.5000
2012-01-01 05:00:00,4274.7000
2012-01-01 06:00:00,4324.9000
2012-01-01 07:00:00,4350.0000
2012-01-01 08:00:00,4480.9000
2012-01-01 09:00:00,4664.2000
2012-01-01 10:00:00,4847.5000
2012-01-01 11:00:00,4981.9000
2012-01-01 12:00:00,5081.0000
2012-01-01 13:00:00,5137.2000
2012-01-01 14:00:00,5142.6000
2012-01-01 15:00:00,5165.1000
2012-01-01 16:00:00,5351.1000
2012-01-01 17:00:00,5664.0000
2012-01-01 18:00:00,5699.9000
2012-01-01 19:00:00,5624.6000
2012-01-01 20:00:00,5555.4000
2012-01-01 21:00:00,5463.0000
2012-01-01 22:00:00,5269.7000
2012-01-01 23:00:00,4972.9000
2012-01-02 00:00:00,4677.0000
2012-01-02 01:00:00,4449.6000
2012-01-02 02:00:00,4284.1000
2012-01-02 03:00:00,4197.9000
2012-01-02 04:00:00,4183.5000
2012-01-02 05:00:00,4304.3000
2012-01-02 06:00:00,4533.3000
2012-01-02 07:00:00,4748.3000
2012-01-02 08:00:00,5000.6000
2012-01-02 09:00:00,5271.3000
2012-01-02 10:00:00,5489.8000
2012-01-02 11:00:00,5614.2000
2012-01-02 12:00:00,5679.6000
2012-01-02 13:00:00,5682.8000
2012-01-02 14:00:00,5704.3000
2012-01-02 15:00:00,5765.8000
2012-01-02 16:00:00,5966.2000
2012-01-02 17:00:00,6315.0000
2012-01-02 18:00:00,6321.2000
2012-01-02 19:00:00,6250.2000
2012-01-02 20:00:00,6089.3000
2012-01-02 21:00:00,5914.4000
2012-01-02 22:00:00,5610.8000
2012-01-02 23:00:00,5217.4000
2012-01-03 00:00:00,4859.0000
2012-01-03 01:00:00,4627.0000
2012-01-03 02:00:00,4488.7000
2012-01-03 03:00:00,4428.5000
2012-01-03 04:00:00,4477.8000
2012-01-03 05:00:00,4736.1000
2012-01-03 06:00:00,5321.2000
2012-01-03 07:00:00,5921.2000
2012-01-03 08:00:00,6284.9000
2012-01-03 09:00:00,6536.4000
2012-01-03 10:00:00,6652.0000
2012-01-03 11:00:00,6737.5000
2012-01-03 12:00:00,6768.4000
2012-01-03 13:00:00,6784.3000
2012-01-03 14:00:00,6796.6000
2012-01-03 15:00:00,6865.3000
2012-01-03 16:00:00,7039.5000
2012-01-03 17:00:00,7322.8000
2012-01-03 18:00:00,7190.4000
2012-01-03 19:00:00,7053.3000
2012-01-03 20:00:00,6853.1000
2012-01-03 21:00:00,6586.0000
2012-01-03 22:00:00,6208.5000
2012-01-03 23:00:00,5753.8000
2012-01-04 00:00:00,5327.5000
2012-01-04 01:00:00,5093.2000
2012-01-04 02:00:00,4945.0000
2012-01-04 03:00:00,4888.0000
2012-01-04 04:00:00,4919.0000
2012-01-04 05:00:00,5153.2000
2012-01-04 06:00:00,5702.5000
2012-01-04 07:00:00,6266.3000
2012-01-04 08:00:00,6592.6000
2012-01-04 09:00:00,6900.3000
2012-01-04 10:00:00,6990.6000
2012-01-04 11:00:00,7017.9000
2012-01-04 12:00:00,7019.4000
2012-01-04 13:00:00,7008.2000
2012-01-04 14:00:00,6962.6000
2012-01-04 15:00:00,7027.4000
2012-01-04 16:00:00,7227.5000
2012-01-04 17:00:00,7417.1000
2012-01-04 18:00:00,7275.3000
2012-01-04 19:00:00,7083.2000
2012-01-04 20:00:00,6876.0000
2012-01-04 21:00:00,6568.1000
2012-01-04 22:00:00,6155.4000
2012-01-04 23:00:00,5654.1000
2012-01-05 00:00:00,5227.6000
2012-01-05 01:00:00,4951.9000
2012-01-05 02:00:00,4785.8000
2012-01-05 03:00:00,4716.0000
2012-01-05 04:00:00,4739.7000
2012-01-05 05:00:00,4990.8000
2012-01-05 06:00:00,5537.5000
2012-01-05 07:00:00,6152.0000
2012-01-05 08:00:00,6480.2000
2012-01-05 09:00:00,6702.3000
2012-01-05 10:00:00,6799.2000
2012-01-05 11:00:00,6786.2000
2012-01-05 12:00:00,6761.4000
2012-01-05 13:00:00,6759.2000
2012-01-05 14:00:00,6741.8000
2012-01-05 15:00:00,6755.1000
2012-01-05 16:00:00,6951.0000
2012-01-05 17:00:00,7188.0000
2012-01-05 18:00:00,6989.7000
2012-01-05 19:00:00,6808.6000
2012-01-05 20:00:00,6583.3000
2012-01-05 21:00:00,6304.3000
2012-01-05 22:00:00,5944.7000
2012-01-05 23:00:00,5469.6000
2012-01-06 00:00:00,5037.0000
2012-01-06 01:00:00,4765.6000
2012-01-06 02:00:00,4599.0000
2012-01-06 03:00:00,4528.8000
2012-01-06 04:00:00,4552.8000
2012-01-06 05:00:00,4790.7000
2012-01-06 06:00:00,5367.3000
2012-01-06 07:00:00,5922.9000
2012-01-06 08:00:00,6238.2000
2012-01-06 09:00:00,6451.5000
2012-01-06 10:00:00,6527.2000
2012-01-06 11:00:00,6544.1000
2012-01-06 12:00:00,6526.5000
2012-01-06 13:00:00,6496.2000
2012-01-06 14:00:00,6462.0000
2012-01-06 15:00:00,6500.9000
2012-01-06 16:00:00,6651.4000
2012-01-06 17:00:00,6835.0000
2012-01-06 18:00:00,6628.1000
2012-01-06 19:00:00,6412.9000
2012-01-06 20:00:00,6169.0000
2012-01-06 21:00:00,5937.7000
2012-01-06 22:00:00,5628.3000
2012-01-06 23:00:00,5247.8000
2012-01-07 00:00:00,4873.9000
2012-01-07 01:00:00,4613.0000
2012-01-07 02:00:00,4439.0000
2012-01-07 03:00:00,4349.0000
2012-01-07 04:00:00,4314.7000
2012-01-07 05:00:00,4385.0000
2012-01-07 06:00:00,4564.1000
2012-01-07 07:00:00,4749.1000
